date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2007-08-23,12.84,416.5557,-0.007727975270479082,-0.009104788202763503
2007-08-24,13.06,424.1288,0.017133956386292892,0.01818028177264175
2007-08-27,13.4,435.4487,0.026033690658499253,0.026689769711464972
2007-08-28,13.45,437.2657,0.003731343283581934,0.004172707370581286
2007-08-29,13.58,441.154,0.009665427509293778,0.0088923050676053
2007-08-30,13.68,446.5525,0.007363770250368162,0.012237223282572485
2007-08-31,13.86,451.7591,0.013157894736842035,0.011659547309666785
2007-09-03,13.93,452.8259,0.005050505050504972,0.00236143555270929
2007-09-04,13.97,453.3409,0.002871500358937684,0.0011373024378684704
2007-09-05,13.95,452.9916,-0.0014316392269149159,-0.0007705018453000312
2007-09-06,14.08,457.2968,0.00931899641577072,0.009503928991177801
2007-09-07,14.04,456.3713,-0.0028409090909091717,-0.0020238497186072513
2007-09-10,14.06,456.7244,0.0014245014245015675,0.0007737121067867836
2007-09-11,14.0,455.6284,-0.004267425320056972,-0.002399696622295666
2007-09-12,14.02,455.6028,0.0014285714285713347,-5.618613765079328e-05
2007-09-13,14.12,458.8352,0.007132667617689048,0.0070947764148947545
2007-09-14,14.06,457.755,-0.004249291784702458,-0.0023542221695284082
2007-09-17,14.02,455.3783,-0.002844950213371278,-0.005192078732072725
2007-09-18,14.19,460.5769,0.012125534950071293,0.011416002914499845
2007-09-19,14.69,479.3658,0.03523608174770976,0.04079427344271913
2007-09-20,14.74,480.8918,0.0034036759700477592,0.003183372697843634
2007-09-21,14.93,489.7148,0.012890094979647104,0.018347162501003433
2007-09-24,15.15,499.2324,0.014735432016075078,0.019434985424169327
2007-09-25,15.16,499.9004,0.0006600660066007347,0.0013380541807783697
2007-09-26,15.17,500.0623,0.0006596306068602509,0.0003238645138110563
2007-09-27,15.38,506.1042,0.013843111404087116,0.012082294546099659
2007-09-28,15.53,508.196,0.00975292587776333,0.004133140961880999
2007-10-01,15.57,512.9717,0.0025756600128783447,0.009397358499476649
2007-10-03,15.9,527.2433,0.021194605009633882,0.02782141782870262
2007-10-04,15.87,526.9714,-0.0018867924528302993,-0.0005157011952545698
2007-10-05,15.83,524.652,-0.002520478890989275,-0.00440137738025248
2007-10-08,15.51,514.4787,-0.020214782059380987,-0.01939056746186052
2007-10-09,16.2,538.873,0.044487427466150864,0.047415568419062026
2007-10-10,16.5,550.3712,0.0185185185185186,0.02133749510552585
2007-10-11,16.76,558.7718,0.01575757575757586,0.015263516695640966
2007-10-12,16.46,549.0246,-0.017899761336515607,-0.01744397265574249
2007-10-15,17.09,573.4289,0.03827460510328051,0.04445028510562188
2007-10-16,17.04,573.18,-0.0029256875365711865,-0.00043405555597220147
2007-10-17,16.78,562.198,-0.015258215962441146,-0.01915977528873991
2007-10-18,16.19,541.2459,-0.03516090584028608,-0.03726818665310083
2007-10-19,15.79,527.5576,-0.02470660901791244,-0.025290353238703545
2007-10-22,15.77,524.4303,-0.001266624445851794,-0.005927883514520449
2007-10-23,16.59,553.6608,0.048735438676587146,0.05241275355320959
2007-10-24,16.63,555.9121,0.0024110910186858625,0.004066208046515252
2007-10-25,16.89,563.2773,0.0156343956704752,0.013248857148459248
2007-10-26,17.28,576.64,0.023090586145648295,0.023723128910041247
2007-10-29,17.74,597.0603,0.02662037037037024,0.03541256243063273
2007-10-30,17.54,593.3126,-0.011273957158962733,-0.006276920438354372
2007-10-31,17.6,596.5407,0.003420752565564511,0.005440808100148242
2007-11-01,17.52,593.0552,-0.00454545454545463,-0.005842853639324241
2007-11-02,17.71,599.6988,0.01084474885844755,0.011202329901162544
2007-11-05,17.45,591.1141,-0.014680971202710391,-0.01431501947310887
2007-11-06,17.35,585.0236,-0.005730659025787843,-0.010303425345462136
2007-11-07,17.33,584.6974,-0.0011527377521615145,-0.0005575843436058658
2007-11-08,17.04,576.2702,-0.016733987305250997,-0.014412925386704245
2007-11-12,16.78,568.0117,-0.015258215962441146,-0.01433095100180437
2007-11-13,17.03,575.891,0.014898688915375491,0.01387172130433223
2007-11-14,17.7,600.3131,0.039342337052260534,0.042407504197842893
2007-11-15,17.63,597.708,-0.00395480225988698,-0.004339568801680294
2007-11-16,17.63,597.1686,0.0,-0.0009024473488726814
2007-11-19,17.64,597.2234,0.0005672149744753163,9.176637887531314e-05
2007-11-20,17.31,584.4447,-0.018707482993197355,-0.02139685082667553
2007-11-21,16.66,562.2877,-0.0375505488157134,-0.037911200152897284
2007-11-22,16.59,558.0828,-0.004201680672268893,-0.007478200216721742
2007-11-23,16.8,567.0619,0.012658227848101333,0.016089189632792822
2007-11-26,17.11,579.4385,0.018452380952380887,0.02182583594489418
